Date,Symbol,r_lag1,r_lag5_mean,r_lag5_std,cs_rank,hype_score,degree_cen,mention_10d,sentiment_5d,y_sign_next,r_next,comm_Community_1,comm_Community_10,comm_Community_11,comm_Community_12,comm_Community_13,comm_Community_14,comm_Community_2,comm_Community_3,comm_Community_4,comm_Community_5,comm_Community_6,comm_Community_7,comm_Community_8,comm_Community_9
2026-01-23,CRC,-0.025510195134455738,0.010027888937965268,0.028781630605072505,0.14,0.1885120701342117,0.1224489795918367,1.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,DELTA,0.023255830495711116,0.03501485788955052,0.03138135487062162,0.94,0.7549857549857552,0.5102040816326531,4.0,0.0,0,-0.02525253422471041,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026-01-23,EGCO,-0.012658265593376572,0.002708534192883638,0.017729487901095863,0.38,0.2641362307564376,0.0,0.0,0.0,1,0.0042735171799404,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-01-23,GPSC,-0.052287549062728145,-0.011697991319818125,0.02584073378829341,0.02,0.3084218345695337,0.0408163265306122,0.0,0.0,0,-0.020689681869164978,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,GULF,0.00537637480607267,0.00655783293251746,0.005986194400765864,0.8,0.824860649548974,0.5306122448979591,1.0,0.0,0,-0.005347623975259785,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-23,HMPRO,-0.028985581945869643,-0.0042624239237119225,0.01972088473306608,0.04,0.3412017927251844,0.0816326530612244,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,IVL,0.0051812926272811755,0.008593317878800378,0.018483174658905945,0.76,0.6190346064901138,0.4489795918367346,0.0,0.0,1,0.010309369829524906,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,KBANK,0.005291018067145492,-0.004121918290645499,0.009487717558162462,0.78,0.8492309488143115,0.5510204081632653,9.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-01-23,KKP,-0.003584155838436409,0.00738592427821585,0.00899929798426518,0.64,0.6442502814112808,0.4081632653061224,3.0,0.0,1,0.003597048219814658,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-01-23,KTB,0.0,0.0003256478667631235,0.02842352135516249,0.68,0.750245974679521,0.3673469387755101,3.0,0.0,0,-0.008695660182415965,0,0,0,0,0,0,0,0,1,0,0,0,0,0
